,week,dengue_fever,dengue,mosquito,insect_repellent,dengue_fever_diff,dengue_fever_2nd_diff,dengue_diff,dengue_2nd_diff,mosquito_diff,mosquito_2nd_diff,insect_repellent_diff,insect_repellent_2nd_diff
0,2013-05-26,33,30,10,2,,,,,,,,
1,2013-06-02,29,28,9,3,-4.0,,-2.0,,-1.0,,1.0,
2,2013-06-09,56,52,18,4,27.0,31.0,24.0,26.0,9.0,10.0,1.0,0.0
3,2013-06-16,42,39,14,2,-14.0,-41.0,-13.0,-37.0,-4.0,-13.0,-2.0,-3.0
4,2013-06-23,25,23,8,2,-17.0,-3.0,-16.0,-3.0,-6.0,-2.0,0.0,2.0
5,2013-06-30,26,24,9,3,1.0,18.0,1.0,17.0,1.0,7.0,1.0,1.0
6,2013-07-07,18,17,8,1,-8.0,-9.0,-7.0,-8.0,-1.0,-2.0,-2.0,-3.0
7,2013-07-14,16,16,8,3,-2.0,6.0,-1.0,6.0,0.0,1.0,2.0,4.0
8,2013-07-21,14,13,8,2,-2.0,0.0,-3.0,-2.0,0.0,0.0,-1.0,-3.0
9,2013-07-28,12,11,9,1,-2.0,0.0,-2.0,1.0,1.0,1.0,-1.0,0.0
10,2013-08-04,11,9,9,2,-1.0,1.0,-2.0,0.0,0.0,-1.0,1.0,2.0
11,2013-08-11,13,13,8,0,2.0,3.0,4.0,6.0,-1.0,-1.0,-2.0,-3.0
12,2013-08-18,12,11,7,2,-1.0,-3.0,-2.0,-6.0,-1.0,0.0,2.0,4.0
13,2013-08-25,11,11,7,1,-1.0,0.0,0.0,2.0,0.0,1.0,-1.0,-3.0
14,2013-09-01,9,9,5,1,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0
15,2013-09-08,12,11,6,2,3.0,5.0,2.0,4.0,1.0,3.0,1.0,1.0
16,2013-09-15,11,10,6,1,-1.0,-4.0,-1.0,-3.0,0.0,-1.0,-1.0,-2.0
17,2013-09-22,9,8,5,1,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0
18,2013-09-29,15,13,5,2,6.0,8.0,5.0,7.0,0.0,1.0,1.0,1.0
19,2013-10-06,13,13,6,1,-2.0,-8.0,0.0,-5.0,1.0,1.0,-1.0,-2.0
20,2013-10-13,11,10,8,1,-2.0,0.0,-3.0,-3.0,2.0,1.0,0.0,1.0
21,2013-10-20,15,15,7,2,4.0,6.0,5.0,8.0,-1.0,-3.0,1.0,1.0
22,2013-10-27,12,11,5,2,-3.0,-7.0,-4.0,-9.0,-2.0,-1.0,0.0,-1.0
23,2013-11-03,12,11,7,2,0.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0
24,2013-11-10,12,11,6,1,0.0,0.0,0.0,0.0,-1.0,-3.0,-1.0,-1.0
25,2013-11-17,13,13,9,1,1.0,1.0,2.0,2.0,3.0,4.0,0.0,1.0
26,2013-11-24,11,10,6,2,-2.0,-3.0,-3.0,-5.0,-3.0,-6.0,1.0,1.0
27,2013-12-01,11,9,6,2,0.0,2.0,-1.0,2.0,0.0,3.0,0.0,-1.0
28,2013-12-08,9,9,6,1,-2.0,-2.0,0.0,1.0,0.0,0.0,-1.0,-1.0
29,2013-12-15,10,10,5,2,1.0,3.0,1.0,1.0,-1.0,-1.0,1.0,2.0
30,2013-12-22,9,8,6,2,-1.0,-2.0,-2.0,-3.0,1.0,2.0,0.0,-1.0
31,2013-12-29,9,8,7,2,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
32,2014-01-05,12,11,5,2,3.0,3.0,3.0,3.0,-2.0,-3.0,0.0,0.0
33,2014-01-12,11,10,4,1,-1.0,-4.0,-1.0,-4.0,-1.0,1.0,-1.0,-1.0
34,2014-01-19,9,8,4,1,-2.0,-1.0,-2.0,-1.0,0.0,1.0,0.0,1.0
35,2014-01-26,7,6,7,1,-2.0,0.0,-2.0,0.0,3.0,3.0,0.0,0.0
36,2014-02-02,7,8,8,2,0.0,2.0,2.0,4.0,1.0,-2.0,1.0,1.0
37,2014-02-09,10,9,13,3,3.0,3.0,1.0,-1.0,5.0,4.0,1.0,0.0
38,2014-02-16,8,9,12,2,-2.0,-5.0,0.0,-1.0,-1.0,-6.0,-1.0,-2.0
39,2014-02-23,9,9,20,4,1.0,3.0,0.0,0.0,8.0,9.0,2.0,3.0
40,2014-03-02,10,8,20,4,1.0,0.0,-1.0,-1.0,0.0,-8.0,0.0,-2.0
41,2014-03-09,6,6,19,2,-4.0,-5.0,-2.0,-1.0,-1.0,-1.0,-2.0,-2.0
42,2014-03-16,6,5,12,1,0.0,4.0,-1.0,1.0,-7.0,-6.0,-1.0,1.0
43,2014-03-23,7,6,8,2,1.0,1.0,1.0,2.0,-4.0,3.0,1.0,2.0
44,2014-03-30,8,7,13,2,1.0,0.0,1.0,0.0,5.0,9.0,0.0,-1.0
45,2014-04-06,6,5,8,2,-2.0,-3.0,-2.0,-3.0,-5.0,-10.0,0.0,0.0
46,2014-04-13,7,7,9,3,1.0,3.0,2.0,4.0,1.0,6.0,1.0,1.0
47,2014-04-20,8,8,10,2,1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-2.0
48,2014-04-27,9,8,10,1,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0
49,2014-05-04,5,6,10,2,-4.0,-5.0,-2.0,-2.0,0.0,0.0,1.0,2.0
50,2014-05-11,7,7,9,3,2.0,6.0,1.0,3.0,-1.0,-1.0,1.0,0.0
51,2014-05-18,8,7,9,2,1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0,-2.0
52,2014-05-25,9,9,10,1,1.0,0.0,2.0,2.0,1.0,1.0,-1.0,0.0
53,2014-06-01,8,7,9,3,-1.0,-2.0,-2.0,-4.0,-1.0,-2.0,2.0,3.0
54,2014-06-08,10,10,7,2,2.0,3.0,3.0,5.0,-2.0,-1.0,-1.0,-3.0
55,2014-06-15,12,10,8,2,2.0,0.0,0.0,-3.0,1.0,3.0,0.0,1.0
56,2014-06-22,11,9,10,2,-1.0,-3.0,-1.0,-1.0,2.0,1.0,0.0,0.0
57,2014-06-29,14,13,9,2,3.0,4.0,4.0,5.0,-1.0,-3.0,0.0,0.0
58,2014-07-06,19,18,8,1,5.0,2.0,5.0,1.0,-1.0,0.0,-1.0,-1.0
59,2014-07-13,17,15,8,1,-2.0,-7.0,-3.0,-8.0,0.0,1.0,0.0,1.0
60,2014-07-20,18,15,11,1,1.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0
61,2014-07-27,14,12,8,2,-4.0,-5.0,-3.0,-3.0,-3.0,-6.0,1.0,1.0
62,2014-08-03,15,14,9,1,1.0,5.0,2.0,5.0,1.0,4.0,-1.0,-2.0
63,2014-08-10,14,13,9,2,-1.0,-2.0,-1.0,-3.0,0.0,-1.0,1.0,2.0
64,2014-08-17,15,14,8,1,1.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0
65,2014-08-24,12,11,10,2,-3.0,-4.0,-3.0,-4.0,2.0,3.0,1.0,2.0
66,2014-08-31,11,9,6,1,-1.0,2.0,-2.0,1.0,-4.0,-6.0,-1.0,-2.0
67,2014-09-07,8,8,8,2,-3.0,-2.0,-1.0,1.0,2.0,6.0,1.0,2.0
68,2014-09-14,8,8,8,2,0.0,3.0,0.0,1.0,0.0,-2.0,0.0,-1.0
69,2014-09-21,7,6,6,4,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0
70,2014-09-28,9,9,5,2,2.0,3.0,3.0,5.0,-1.0,1.0,-2.0,-4.0
71,2014-10-05,7,6,4,1,-2.0,-4.0,-3.0,-6.0,-1.0,0.0,-1.0,1.0
72,2014-10-12,6,6,6,1,-1.0,1.0,0.0,3.0,2.0,3.0,0.0,1.0
73,2014-10-19,8,7,6,1,2.0,3.0,1.0,1.0,0.0,-2.0,0.0,0.0
74,2014-10-26,8,8,7,2,0.0,-2.0,1.0,0.0,1.0,1.0,1.0,1.0
75,2014-11-02,5,4,5,1,-3.0,-3.0,-4.0,-5.0,-2.0,-3.0,-1.0,-2.0
76,2014-11-09,6,6,5,2,1.0,4.0,2.0,6.0,0.0,2.0,1.0,2.0
77,2014-11-16,6,6,5,1,0.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,-2.0
78,2014-11-23,8,6,5,2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
79,2014-11-30,6,6,5,1,-2.0,-4.0,0.0,0.0,0.0,0.0,-1.0,-2.0
80,2014-12-07,6,5,6,1,0.0,2.0,-1.0,-1.0,1.0,1.0,0.0,1.0
81,2014-12-14,5,5,6,1,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0
82,2014-12-21,4,4,4,2,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,1.0,1.0
83,2014-12-28,7,5,5,1,3.0,4.0,1.0,2.0,1.0,3.0,-1.0,-2.0
84,2015-01-04,5,5,5,2,-2.0,-5.0,0.0,-1.0,0.0,-1.0,1.0,2.0
85,2015-01-11,7,7,5,1,2.0,4.0,2.0,2.0,0.0,0.0,-1.0,-2.0
86,2015-01-18,5,5,5,2,-2.0,-4.0,-2.0,-4.0,0.0,0.0,1.0,2.0
87,2015-01-25,7,7,7,2,2.0,4.0,2.0,4.0,2.0,2.0,0.0,-1.0
88,2015-02-01,6,5,6,1,-1.0,-3.0,-2.0,-4.0,-1.0,-3.0,-1.0,-1.0
89,2015-02-08,4,4,5,1,-2.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.0
90,2015-02-15,6,4,3,0,2.0,4.0,0.0,1.0,-2.0,-1.0,-1.0,-1.0
91,2015-02-22,6,6,5,1,0.0,-2.0,2.0,2.0,2.0,4.0,1.0,2.0
92,2015-03-01,5,4,7,1,-1.0,-1.0,-2.0,-4.0,2.0,0.0,0.0,-1.0
93,2015-03-08,7,6,8,2,2.0,3.0,2.0,4.0,1.0,-1.0,1.0,1.0
94,2015-03-15,6,6,7,1,-1.0,-3.0,0.0,-2.0,-1.0,-2.0,-1.0,-2.0
95,2015-03-22,5,5,5,2,-1.0,0.0,-1.0,-1.0,-2.0,-1.0,1.0,2.0
96,2015-03-29,4,4,6,1,-1.0,0.0,-1.0,0.0,1.0,3.0,-1.0,-2.0
97,2015-04-05,7,6,7,2,3.0,4.0,2.0,3.0,1.0,0.0,1.0,2.0
98,2015-04-12,6,5,6,2,-1.0,-4.0,-1.0,-3.0,-1.0,-2.0,0.0,-1.0
99,2015-04-19,7,6,6,2,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
100,2015-04-26,6,4,7,1,-1.0,-2.0,-2.0,-3.0,1.0,1.0,-1.0,-1.0
101,2015-05-03,5,5,9,2,-1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0
102,2015-05-10,7,7,6,2,2.0,3.0,2.0,1.0,-3.0,-5.0,0.0,-1.0
103,2015-05-17,8,6,6,1,1.0,-1.0,-1.0,-3.0,0.0,3.0,-1.0,-1.0
104,2015-05-24,7,5,5,2,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,1.0,2.0
105,2015-05-31,6,6,7,1,-1.0,0.0,1.0,2.0,2.0,3.0,-1.0,-2.0
106,2015-06-07,6,6,6,2,0.0,1.0,0.0,-1.0,-1.0,-3.0,1.0,2.0
107,2015-06-14,7,7,7,3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
108,2015-06-21,8,8,8,2,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-2.0
109,2015-06-28,8,7,7,2,0.0,-1.0,-1.0,-2.0,-1.0,-2.0,0.0,1.0
110,2015-07-05,7,7,6,2,-1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0
111,2015-07-12,9,7,7,1,2.0,3.0,0.0,0.0,1.0,2.0,-1.0,-1.0
112,2015-07-19,8,7,7,2,-1.0,-3.0,0.0,0.0,0.0,-1.0,1.0,2.0
113,2015-07-26,7,6,5,2,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,0.0,-1.0
114,2015-08-02,5,6,7,1,-2.0,-1.0,0.0,1.0,2.0,4.0,-1.0,-1.0
115,2015-08-09,5,6,6,1,0.0,2.0,0.0,0.0,-1.0,-3.0,0.0,1.0
116,2015-08-16,6,6,7,1,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
117,2015-08-23,6,5,7,1,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0
118,2015-08-30,5,5,6,2,-1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,1.0
119,2015-09-06,6,6,5,1,1.0,2.0,1.0,1.0,-1.0,0.0,-1.0,-2.0
120,2015-09-13,7,6,6,2,1.0,0.0,0.0,-1.0,1.0,2.0,1.0,2.0
121,2015-09-20,7,5,5,1,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-2.0
122,2015-09-27,8,7,8,1,1.0,1.0,2.0,3.0,3.0,4.0,0.0,1.0
123,2015-10-04,7,7,6,1,-1.0,-2.0,0.0,-2.0,-2.0,-5.0,0.0,0.0
124,2015-10-11,6,4,6,3,-1.0,0.0,-3.0,-3.0,0.0,2.0,2.0,2.0
125,2015-10-18,7,6,7,1,1.0,2.0,2.0,5.0,1.0,1.0,-2.0,-4.0
126,2015-10-25,6,6,5,1,-1.0,-2.0,0.0,-2.0,-2.0,-3.0,0.0,2.0
127,2015-11-01,8,6,6,1,2.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0
128,2015-11-08,6,5,7,1,-2.0,-4.0,-1.0,-1.0,1.0,0.0,0.0,0.0
129,2015-11-15,7,6,7,3,1.0,3.0,1.0,2.0,0.0,-1.0,2.0,2.0
130,2015-11-22,7,6,6,2,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-3.0
131,2015-11-29,6,6,7,2,-1.0,-1.0,0.0,0.0,1.0,2.0,0.0,1.0
132,2015-12-06,7,7,5,2,1.0,2.0,1.0,1.0,-2.0,-3.0,0.0,0.0
133,2015-12-13,11,10,8,3,4.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0
134,2015-12-20,6,6,9,2,-5.0,-9.0,-4.0,-7.0,1.0,-2.0,-1.0,-2.0
135,2015-12-27,11,9,8,2,5.0,10.0,3.0,7.0,-1.0,-2.0,0.0,1.0
136,2016-01-03,16,14,8,2,5.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0
137,2016-01-10,14,13,6,3,-2.0,-7.0,-1.0,-6.0,-2.0,-2.0,1.0,1.0
138,2016-01-17,13,12,11,2,-1.0,1.0,-1.0,0.0,5.0,7.0,-1.0,-2.0
139,2016-01-24,19,17,12,2,6.0,7.0,5.0,6.0,1.0,-4.0,0.0,1.0
140,2016-01-31,17,16,16,5,-2.0,-8.0,-1.0,-6.0,4.0,3.0,3.0,3.0
141,2016-02-07,17,14,9,3,0.0,2.0,-2.0,-1.0,-7.0,-11.0,-2.0,-5.0
142,2016-02-14,17,16,7,2,0.0,0.0,2.0,4.0,-2.0,5.0,-1.0,1.0
143,2016-02-21,14,13,8,3,-3.0,-3.0,-3.0,-5.0,1.0,3.0,1.0,2.0
144,2016-02-28,13,12,8,2,-1.0,2.0,-1.0,2.0,0.0,-1.0,-1.0,-2.0
145,2016-03-06,11,10,7,2,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0
146,2016-03-13,11,10,8,1,0.0,2.0,0.0,2.0,1.0,2.0,-1.0,-1.0
147,2016-03-20,8,8,7,2,-3.0,-3.0,-2.0,-2.0,-1.0,-2.0,1.0,2.0
148,2016-03-27,10,10,7,1,2.0,5.0,2.0,4.0,0.0,1.0,-1.0,-2.0
149,2016-04-03,10,10,7,2,0.0,-2.0,0.0,-2.0,0.0,0.0,1.0,2.0
150,2016-04-10,10,9,8,3,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0
151,2016-04-17,8,7,7,3,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,0.0,-1.0
152,2016-04-24,7,6,5,1,-1.0,1.0,-1.0,1.0,-2.0,-1.0,-2.0,-2.0
153,2016-05-01,7,6,7,2,0.0,1.0,0.0,1.0,2.0,4.0,1.0,3.0
154,2016-05-08,9,8,8,1,2.0,2.0,2.0,2.0,1.0,-1.0,-1.0,-2.0
155,2016-05-15,6,6,10,3,-3.0,-5.0,-2.0,-4.0,2.0,1.0,2.0,3.0
156,2016-05-22,8,7,8,3,2.0,5.0,1.0,3.0,-2.0,-4.0,0.0,-2.0
157,2016-05-29,8,8,9,2,0.0,-2.0,1.0,0.0,1.0,3.0,-1.0,-1.0
158,2016-06-05,9,8,7,2,1.0,1.0,0.0,-1.0,-2.0,-3.0,0.0,1.0
159,2016-06-12,7,7,9,2,-2.0,-3.0,-1.0,-1.0,2.0,4.0,0.0,0.0
160,2016-06-19,8,7,8,1,1.0,3.0,0.0,1.0,-1.0,-3.0,-1.0,-1.0
161,2016-06-26,9,8,9,2,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0
162,2016-07-03,7,7,7,3,-2.0,-3.0,-1.0,-2.0,-2.0,-3.0,1.0,0.0
163,2016-07-10,9,9,7,1,2.0,4.0,2.0,3.0,0.0,2.0,-2.0,-3.0
164,2016-07-17,8,8,6,3,-1.0,-3.0,-1.0,-3.0,-1.0,-1.0,2.0,4.0
165,2016-07-24,9,8,8,1,1.0,2.0,0.0,1.0,2.0,3.0,-2.0,-4.0
166,2016-07-31,10,9,8,3,1.0,0.0,1.0,1.0,0.0,-2.0,2.0,4.0
167,2016-08-07,6,5,6,2,-4.0,-5.0,-4.0,-5.0,-2.0,-2.0,-1.0,-3.0
168,2016-08-14,7,7,6,2,1.0,5.0,2.0,6.0,0.0,2.0,0.0,1.0
169,2016-08-21,6,5,5,2,-1.0,-2.0,-2.0,-4.0,-1.0,-1.0,0.0,0.0
170,2016-08-28,17,16,100,57,11.0,12.0,11.0,13.0,95.0,96.0,55.0,55.0
171,2016-09-04,12,11,52,28,-5.0,-16.0,-5.0,-16.0,-48.0,-143.0,-29.0,-84.0
172,2016-09-11,9,10,25,8,-3.0,2.0,-1.0,4.0,-27.0,21.0,-20.0,9.0
173,2016-09-18,8,8,16,6,-1.0,2.0,-2.0,-1.0,-9.0,18.0,-2.0,18.0
174,2016-09-25,6,5,10,3,-2.0,-1.0,-3.0,-1.0,-6.0,3.0,-3.0,-1.0
175,2016-10-02,7,6,6,2,1.0,3.0,1.0,4.0,-4.0,2.0,-1.0,2.0
176,2016-10-09,10,7,10,3,3.0,2.0,1.0,0.0,4.0,8.0,1.0,2.0
177,2016-10-16,5,5,7,2,-5.0,-8.0,-2.0,-3.0,-3.0,-7.0,-1.0,-2.0
178,2016-10-23,5,5,8,2,0.0,5.0,0.0,2.0,1.0,4.0,0.0,1.0
179,2016-10-30,5,4,7,1,0.0,0.0,-1.0,-1.0,-1.0,-2.0,-1.0,-1.0
180,2016-11-06,4,3,5,1,-1.0,-1.0,-1.0,0.0,-2.0,-1.0,0.0,1.0
181,2016-11-13,3,3,8,1,-1.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0
182,2016-11-20,5,4,6,2,2.0,3.0,1.0,1.0,-2.0,-5.0,1.0,1.0
183,2016-11-27,4,3,7,2,-1.0,-3.0,-1.0,-2.0,1.0,3.0,0.0,-1.0
184,2016-12-04,3,2,5,2,-1.0,0.0,-1.0,0.0,-2.0,-3.0,0.0,0.0
185,2016-12-11,4,3,7,1,1.0,2.0,1.0,2.0,2.0,4.0,-1.0,-1.0
186,2016-12-18,2,2,5,1,-2.0,-3.0,-1.0,-2.0,-2.0,-4.0,0.0,1.0
187,2016-12-25,4,4,6,1,2.0,4.0,2.0,3.0,1.0,3.0,0.0,0.0
188,2017-01-01,5,5,6,2,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0
189,2017-01-08,4,4,4,1,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0,-2.0
190,2017-01-15,4,4,5,1,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0
191,2017-01-22,4,3,6,1,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0
192,2017-01-29,5,3,7,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
